Kongress der Kaiserlichen Akademie der Astronomen 
Jahrestagung 1973 in Lorsch
Legende:
x,y -> z
3980,3917 -> 7
28364,30 -> 5
21282,5532 -> 2
11477,17135 -> 3
19347,31671 -> 2
14017,11530 -> 8
16836,15314 -> 3
6136,20683 -> 3
30089,21147 -> 8
30170,19776 -> 1
14086,16037 -> 5
22892,31369 -> 1
8487,20603 -> 4
30469,8297 -> 8
30639,9200 -> 3
20793,32505 -> 7
28821,19344 -> 1
18090,23229 -> 1
25506,7482 -> 4
12941,29832 -> 2
19603,15176 -> 5
22023,10995 -> 2
2857,30678 -> 7
21678,18001 -> 7
10728,6146 -> 6
14539,29035 -> 2
32640,23357 -> 2
17467,28772 -> 2
2059,3848 -> 3
22774,5273 -> 4
10916,29098 -> 4
4266,1878 -> 7
5391,18124 -> 5
15600,7860 -> 5
14941,22263 -> 8
4605,22281 -> 5
8916,12135 -> 7
15335,4255 -> 2
=== Land Nr. 52 ===
27273,27063 -> 4
=== Land Nr. 53 ===
8903,9403 -> 7
22891,6990 -> 3
15468,5655 -> 6
15019,23188 -> 2
2654,24660 -> 5
21193,7254 -> 7
22864,1822 -> 2
23219,5609 -> 7
4962,20716 -> 3
2991,24809 -> 7
2236,25254 -> 6
23310,25507 -> 2
2669,2203 -> 1
21976,3466 -> 4
8591,11905 -> 8
27633,22868 -> 6
8475,11141 -> 3
14180,20102 -> 4
23292,26760 -> 3
14305,31384 -> 2
28988,22052 -> 1
25476,7675 -> 3
8803,29962 -> 2
9606,9132 -> 7
7256,11991 -> 2
14439,31246 -> 2
25454,13943 -> 5
3248,6731 -> 4
17251,28330 -> 5
28260,1896 -> 6
7791,14925 -> 3
10922,24779 -> 6
21185,28008 -> 8
25703,23538 -> 4
26873,10049 -> 1
25022,10104 -> 4
24188,31966 -> 5
13728,28112 -> 2
13500,22705 -> 2
4104,30768 -> 1
2756,8049 -> 2
1130,25250 -> 1
30886,21321 -> 7
2430,30784 -> 2
15527,26082 -> 8
9849,15097 -> 1
6198,32500 -> 2
319,23677 -> 2
3856,96 -> 7
7751,5655 -> 4
9506,20997 -> 6
28188,27557 -> 2
18437,20174 -> 8
3520,2539 -> 7
22316,22950 -> 1
13924,10998 -> 6
18972,31829 -> 3
3627,19276 -> 6
22081,19328 -> 5
12019,4367 -> 6
15934,29229 -> 2
6491,8820 -> 7
13011,3242 -> 3
14717,23303 -> 2
29088,11688 -> 6
28694,26558 -> 1
10359,22999 -> 2
3606,24524 -> 1
9213,17791 -> 1
10693,1187 -> 5
1729,31931 -> 7
31749,32189 -> 3
16920,10848 -> 3
22877,13554 -> 5
23647,15037 -> 5
11722,32393 -> 4
18545,28342 -> 1
29581,1103 -> 4
16500,26851 -> 6
15469,3402 -> 3
19014,8635 -> 4
25128,17390 -> 5
22070,20729 -> 3
7688,6876 -> 3
22732,2491 -> 6
28884,29839 -> 7
26314,21507 -> 1
15255,19587 -> 1
18094,18858 -> 3
32500,24764 -> 8
11615,30181 -> 5
14846,20668 -> 7
966,15849 -> 5
8914,25409 -> 2
12680,15953 -> 2
16987,13923 -> 7
3354,7251 -> 8
10768,5612 -> 3
19422,6896 -> 1
21901,8710 -> 3
11545,9102 -> 8
9040,25734 -> 8
12502,11987 -> 8
30468,32135 -> 4
2070,26000 -> 7
23841,16401 -> 4
7647,15131 -> 6
15050,32248 -> 1
12549,31087 -> 4
1580,28226 -> 4
1216,3302 -> 6
721,7090 -> 2
17012,8301 -> 1
23200,12609 -> 6
=== Land Nr. 54 ===
20783,7293 -> 2
30591,22711 -> 4
14283,10819 -> 4
2778,17311 -> 3
9397,18875 -> 3
1911,29001 -> 7
711,9388 -> 1
18264,25751 -> 2
9408,25024 -> 6
31401,21194 -> 5
6451,8757 -> 6
7648,28809 -> 6
14089,22999 -> 1
25756,29910 -> 5
30441,9283 -> 6
5099,16819 -> 2
18472,27556 -> 6
505,28830 -> 1
20488,29796 -> 2
10839,21809 -> 3
30836,32401 -> 7
19803,29319 -> 4
28535,30938 -> 6
13901,28727 -> 5
19232,2681 -> 3
22358,25091 -> 8
32153,20581 -> 8
15215,16780 -> 2
13202,24470 -> 1
11717,23470 -> 5
11089,16720 -> 7
13125,15177 -> 8
7430,32680 -> 3
24151,22955 -> 5
32057,18366 -> 2
28137,8403 -> 2
18532,29798 -> 5
24667,9792 -> 8
13085,20277 -> 6
30705,1302 -> 2
7261,20265 -> 6
29131,29872 -> 2
1981,25450 -> 4
12701,13571 -> 4
17356,15830 -> 6
13207,15448 -> 5
17604,25678 -> 2
833,19019 -> 5
13898,24843 -> 1
=== Land Nr. 55 ===
4403,12813 -> 4
26370,2394 -> 1
23284,25180 -> 5
1810,20365 -> 3
16227,31668 -> 4
20209,16406 -> 7
24441,13724 -> 2
5655,29425 -> 5
24133,31266 -> 1
14695,12783 -> 6
1133,2788 -> 6
32612,10634 -> 7
2719,17717 -> 7
31895,32058 -> 6
27569,17215 -> 3
25779,22930 -> 6
27241,13875 -> 7
17741,28035 -> 7
16410,31203 -> 6
27983,24987 -> 8
157,7265 -> 4
20586,16155 -> 1
30039,29807 -> 1
6190,4662 -> 6
21565,30695 -> 6
23709,14816 -> 7
=== Land Nr. 56 ===
6433,24423 -> 4
15433,7397 -> 2
13990,22243 -> 6
20578,12110 -> 1
8617,4844 -> 6
21310,9278 -> 2
13587,12491 -> 2
20544,10181 -> 2
25918,23487 -> 7
27177,22880 -> 4
372,23559 -> 3
16702,19228 -> 3
10045,1144 -> 1
21695,21147 -> 2
24176,31182 -> 4
29606,20583 -> 6
26174,6914 -> 8
32427,1882 -> 8
23223,29760 -> 5
29181,260 -> 5
22396,11865 -> 7
30509,7507 -> 3
26509,27332 -> 1
12353,6891 -> 3
15236,135 -> 5
4847,29426 -> 5
5779,10404 -> 4
5988,7735 -> 3
30752,26844 -> 7
16426,4865 -> 7
2776,486 -> 8
10505,20975 -> 8
9093,25197 -> 6
26873,32156 -> 6
26911,12908 -> 8
14205,3097 -> 6
27836,718 -> 3
32764,29268 -> 1
21361,6991 -> 5
28152,2304 -> 8
3405,21778 -> 1
4913,10146 -> 2
15334,31351 -> 1
9492,24004 -> 1
12338,21763 -> 4
270,7053 -> 4
6831,30846 -> 2
16269,21027 -> 7
31226,1694 -> 8
11234,27038 -> 3
21351,10439 -> 1
2875,11654 -> 4
7740,26065 -> 4
18284,20996 -> 3
21915,22489 -> 3
25164,17231 -> 7
11839,10871 -> 8
7356,24067 -> 2
17558,17408 -> 7
2245,19040 -> 4
3302,7316 -> 3
24650,19874 -> 7
12913,7206 -> 8
570,19438 -> 7
13280,29900 -> 2
30292,14996 -> 8
14939,24814 -> 4
23500,13704 -> 7
13840,1321 -> 5
16764,7270 -> 6
1573,1041 -> 5
9827,23138 -> 1
11066,9742 -> 3
=== Land Nr. 57 ===
22433,6633 -> 5
2832,25085 -> 7
7469,28646 -> 2
28911,9077 -> 1
14588,21473 -> 1
2522,29099 -> 3
13398,20860 -> 1
27834,9840 -> 6
25983,5359 -> 3
7686,18113 -> 2
3080,6040 -> 4
15243,22238 -> 1
27753,4796 -> 4
26730,16872 -> 6
934,19973 -> 3
31331,12652 -> 6
21037,11367 -> 1
8446,2926 -> 5
26948,21872 -> 3
5184,19918 -> 7
26757,21039 -> 8
7139,13342 -> 6
360,15415 -> 4
16715,4414 -> 7
29905,612 -> 2
3506,6239 -> 8
25351,6770 -> 4
9023,2358 -> 4
16565,1930 -> 2
6918,24971 -> 8
25530,15682 -> 5
11036,27241 -> 5
28913,25551 -> 5
32588,16785 -> 4
4160,11609 -> 5
13325,28678 -> 8
16002,5551 -> 3
22216,17613 -> 5
27960,23754 -> 5
32661,5936 -> 1
28154,8676 -> 5
22507,22054 -> 1
31774,2066 -> 5
32512,29368 -> 8
8476,3731 -> 7
2004,20841 -> 8
16518,5733 -> 6
5641,4892 -> 1
24251,15285 -> 8
13859,16357 -> 6
16792,1341 -> 8
17095,16068 -> 1
27860,17602 -> 1
19461,6983 -> 3
17356,11040 -> 5
22237,30331 -> 6
22761,22436 -> 2
14971,12983 -> 7
14054,23985 -> 6
11745,555 -> 8
19103,11482 -> 3
5101,3635 -> 8
5171,18169 -> 5
3340,476 -> 6
31898,3307 -> 2
7408,27690 -> 8
10500,30198 -> 3
6178,16111 -> 3
30616,3853 -> 8
24659,13659 -> 2
2411,30308 -> 3
1956,14742 -> 2
27596,32022 -> 2
4719,752 -> 5
10036,31691 -> 6
3124,11926 -> 7
17532,2210 -> 5
20399,4821 -> 4
18726,27593 -> 1
2888,4416 -> 7
20958,15749 -> 1
605,18014 -> 3
24187,21408 -> 4
8466,13741 -> 2
9518,23923 -> 1
31662,1817 -> 6
27292,5378 -> 5
5038,10041 -> 7
31507,4333 -> 2
3088,11759 -> 6
=== Land Nr. 58 ===
1313,22043 -> 5
9101,26433 -> 8
20531,6510 -> 3
9906,18561 -> 5
10760,223 -> 1
25888,4128 -> 7
31764,28885 -> 4
23637,22721 -> 4
22067,23957 -> 4
4040,6246 -> 8
=== Land Nr. 59 ===
28213,533 -> 2
14673,27342 -> 1
11303,5284 -> 2
28158,12890 -> 1
26989,26396 -> 2
21226,7444 -> 6
7427,9116 -> 8
23230,946 -> 7
22914,22528 -> 4
4052,30372 -> 7
20926,4487 -> 3
30776,12689 -> 2
7949,14191 -> 2
30723,10192 -> 4
20644,28273 -> 7
3001,31937 -> 2
28044,26712 -> 2
6071,4363 -> 7
6930,27189 -> 2
10966,27185 -> 2
6088,22742 -> 1
16839,11263 -> 7
16240,3721 -> 8
9691,13233 -> 5
26217,28252 -> 8
15661,13038 -> 5
7023,26700 -> 8
23410,31979 -> 1
21718,16166 -> 3
10706,8781 -> 6
19076,11278 -> 7
24983,2212 -> 1
20562,17630 -> 8
10395,28829 -> 3
31908,8672 -> 3
12219,27188 -> 6
21844,29838 -> 5
4788,6285 -> 4
12609,25693 -> 3
13878,28483 -> 7
1830,26565 -> 6
19482,20813 -> 3
4740,16120 -> 5
3826,15813 -> 7
7616,780 -> 5
32110,4404 -> 7
27851,14216 -> 1
13141,25144 -> 8
17894,17803 -> 3
16632,13973 -> 7
32357,3856 -> 5
25454,18971 -> 7
20351,11767 -> 6
3833,29406 -> 1
7051,17875 -> 8
10851,26289 -> 7
17976,24766 -> 4
30006,21489 -> 2
25250,28312 -> 3
11290,29687 -> 1
20569,31605 -> 8
26049,1991 -> 1
31919,23865 -> 4
10278,8162 -> 4
28646,16769 -> 2
10505,13889 -> 6
9754,31857 -> 5
24051,3549 -> 8
505,3588 -> 3
16164,3409 -> 8
31655,22246 -> 6
15925,29313 -> 1
6239,14090 -> 2
15451,23369 -> 7
18353,8052 -> 7
5517,17302 -> 1
2416,19956 -> 1
27894,21378 -> 6
19368,17596 -> 8
7292,14410 -> 6
21043,26915 -> 4
19529,22833 -> 5
16844,23533 -> 5
6285,5552 -> 5
9905,25320 -> 3
6910,27780 -> 4
4907,28369 -> 4
31422,891 -> 6
19609,14763 -> 6
8356,5636 -> 4
32216,31002 -> 1
10030,25850 -> 2
7188,32091 -> 1
25720,27686 -> 2
10092,8429 -> 4
21004,29270 -> 2
17130,30229 -> 8
26995,3890 -> 4
22465,30383 -> 1
7615,3595 -> 1
9686,28695 -> 5
14739,14168 -> 1
22509,18447 -> 1
26193,4772 -> 3
31781,22758 -> 7
19565,12560 -> 3
12669,21075 -> 8
26145,5307 -> 7
405,6589 -> 6
5363,25521 -> 8
18931,24551 -> 7
8137,21807 -> 2
23147,23353 -> 5
17025,15956 -> 1
5761,7458 -> 2
14667,24486 -> 6
1494,7746 -> 7
302,9963 -> 1
25606,12378 -> 5
13443,4421 -> 2
31363,22076 -> 5
17745,18332 -> 1
28488,24875 -> 3
12488,942 -> 3
18816,28782 -> 7
28241,22115 -> 3
18803,23299 -> 7
8676,6202 -> 2
25430,29874 -> 2
19632,13031 -> 5
17618,22258 -> 7
10294,8055 -> 7
23392,11102 -> 1
22362,30363 -> 8
26060,14511 -> 5
30244,22756 -> 6
17777,29809 -> 7
7209,21272 -> 8
5152,27373 -> 1
28359,18155 -> 8
2470,15361 -> 4
14268,23226 -> 6
2148,1759 -> 4
27089,4895 -> 5
19080,14308 -> 6
24698,3961 -> 3
12731,4872 -> 6
18625,32438 -> 8
14693,23196 -> 2
20705,21513 -> 7
4053,25928 -> 2
18762,6985 -> 3
29935,10120 -> 3
=== Land Nr. 60 ===
7443,6963 -> 3
15660,29731 -> 8
16640,18378 -> 3
19989,21576 -> 3
16290,29045 -> 3
9596,9044 -> 4
11843,11717 -> 6
3873,25457 -> 8
27034,15576 -> 8
9347,22417 -> 6
19056,15066 -> 3
8466,9329 -> 1
25038,20242 -> 3
2298,23967 -> 2
2374,21113 -> 2
11067,17604 -> 1
32616,9692 -> 5
14291,28825 -> 1
12694,13280 -> 6
2332,24151 -> 3
2987,30100 -> 6
27571,27517 -> 7
31534,20562 -> 7
12927,12092 -> 7
5898,23062 -> 4
19634,29175 -> 7
24070,3481 -> 4
29143,26255 -> 4
3438,18902 -> 7
23633,7281 -> 4
32427,12477 -> 8
1236,12967 -> 7
5571,10049 -> 1
29115,29530 -> 1
25580,27909 -> 3
842,31873 -> 3
2243,3157 -> 2
16960,17845 -> 4
25027,21294 -> 4
10307,31848 -> 2
2823,11391 -> 5
12814,9957 -> 7
25990,7402 -> 5
22882,5097 -> 3
5706,26804 -> 4
26928,8119 -> 7
3918,4252 -> 7
2170,6390 -> 5
32255,29138 -> 3
26828,24241 -> 8
17574,31057 -> 7
19310,32344 -> 3
15126,5432 -> 2
7320,29593 -> 2
10359,28416 -> 8
17995,1369 -> 8
2826,4003 -> 4
9374,25159 -> 5
9266,27397 -> 2
17315,25778 -> 5
11822,587 -> 7
21296,6318 -> 3
28223,25819 -> 2
5931,4274 -> 1
20792,26173 -> 4
6957,5160 -> 6
14758,29465 -> 3
9880,4271 -> 1
28174,6651 -> 1
27253,16897 -> 7
31484,11439 -> 5
13493,3505 -> 8
12240,25937 -> 4
11433,26438 -> 1
28303,18017 -> 5
19144,1629 -> 1
9765,3962 -> 3
29223,7119 -> 5
19412,10371 -> 5
23591,21535 -> 3
21449,25459 -> 8
30533,9355 -> 8
21007,30966 -> 3
21,28058 -> 4
25686,16029 -> 2
1996,14602 -> 2
6724,21858 -> 7
24034,4692 -> 1
5458,1433 -> 1
31415,79 -> 1
23134,14772 -> 1
10050,19357 -> 6
7801,7007 -> 1
16940,20695 -> 6
1438,20186 -> 1
15596,28352 -> 1
9548,13984 -> 3
19386,32740 -> 6
30277,7613 -> 3
22902,3180 -> 4
2009,12638 -> 7
11476,19471 -> 4
3204,25215 -> 1
24175,31076 -> 2
2764,11977 -> 6
22413,12044 -> 4
28323,31734 -> 2
8125,23653 -> 2
14006,13147 -> 6
21398,8895 -> 4
22128,13159 -> 3
18745,27991 -> 3
28828,2870 -> 6
14196,9599 -> 7
6122,22663 -> 4
14985,20919 -> 6
6595,6844 -> 4
24069,2474 -> 2
19758,28078 -> 6
30012,16964 -> 3
17082,30064 -> 5
5173,23657 -> 2
21409,24669 -> 3
31019,26088 -> 5
=== Land Nr. 61 ===
15783,22283 -> 4
15099,28611 -> 5
1630,2546 -> 5
11022,3561 -> 7
7125,23266 -> 6
6554,21479 -> 1
25058,29865 -> 2
8540,16207 -> 3
25214,3447 -> 5
23574,19382 -> 3
31989,8406 -> 8
29544,13720 -> 1
725,13404 -> 2
31219,2191 -> 2
731,18016 -> 5
26297,19098 -> 6
24918,26704 -> 7
308,14687 -> 3
6843,20097 -> 2
5801,28599 -> 5
30802,23955 -> 5
403,14567 -> 5
26702,444 -> 1
29249,9287 -> 2
25013,30349 -> 3
5116,26447 -> 7
4556,9758 -> 3
11346,5441 -> 4
21529,31903 -> 7
14928,31467 -> 1
30483,2488 -> 6
31191,21036 -> 3
24336,6983 -> 1
4951,21580 -> 2
1561,13659 -> 6
14986,17221 -> 3
29356,31098 -> 5
7941,8586 -> 1
22675,17301 -> 2
26564,19697 -> 8
32339,3389 -> 1
3825,23759 -> 5
1766,6124 -> 1
26009,19557 -> 3
=== Land Nr. 62 ===
12993,1413 -> 8
24338,29223 -> 1
23630,29273 -> 6
4659,22930 -> 4
13150,26192 -> 5
12987,6278 -> 2
22604,6919 -> 2
12143,31318 -> 1
17089,13060 -> 3
12760,10778 -> 3
10580,8781 -> 1
693,13025 -> 6
13955,17159 -> 4
25194,2002 -> 4
3254,28904 -> 7
18204,8036 -> 5
15944,7326 -> 7
14912,21550 -> 6
16333,9340 -> 3
19901,768 -> 8
18955,29194 -> 7
25847,4424 -> 2
28262,29773 -> 3
26711,30701 -> 5
7081,7392 -> 1
31283,28194 -> 3
19059,6713 -> 1
31268,11497 -> 2
20401,13225 -> 5
8222,20274 -> 2
14576,31737 -> 6
=== Land Nr. 63 ===
19193,23523 -> 2
26985,5562 -> 1
22049,24107 -> 1
16404,4248 -> 5
30884,26088 -> 6
11811,2388 -> 1
25570,11533 -> 2
8891,15923 -> 3
8834,16461 -> 7
23490,18431 -> 2
10365,14447 -> 1
21779,11250 -> 5
11102,7965 -> 3
1670,5410 -> 1
17926,21771 -> 7
13957,17478 -> 2
11665,2244 -> 7
10783,15079 -> 6
25917,21642 -> 8
15590,25443 -> 2
32086,16124 -> 5
14833,2381 -> 6
3475,28048 -> 8
31966,28160 -> 5
21870,10488 -> 5
15524,13198 -> 1
19805,13066 -> 2
15255,19533 -> 8
2548,10959 -> 1
16111,10162 -> 1
11862,9911 -> 1
30121,1333 -> 5
23937,5675 -> 4
10661,15475 -> 3
12890,13044 -> 3
1861,30165 -> 2
21635,8241 -> 3
18176,20820 -> 2
21601,6092 -> 3
24993,24892 -> 5
8922,2226 -> 7
812,15612 -> 1
18873,5951 -> 6
31139,21603 -> 5
4020,24211 -> 2
13335,9687 -> 8
32647,27857 -> 8
23504,6766 -> 3
27562,3449 -> 8
29814,8431 -> 3
4224,23638 -> 8
4470,15652 -> 2
29978,8377 -> 8
24090,13063 -> 7
12003,25596 -> 2
17175,19884 -> 4
18118,26494 -> 4
12149,4089 -> 6
16057,23961 -> 4
17433,29066 -> 7
11437,26172 -> 5
=== Land Nr. 64 ===
10343,13393 -> 3
7248,6965 -> 3
29612,28632 -> 7
31529,16724 -> 3
10829,13609 -> 1
19188,19162 -> 7
7930,15048 -> 5
17481,3335 -> 3
26443,25159 -> 8
2032,11675 -> 4
20629,12633 -> 7
1904,11935 -> 2
11481,5748 -> 1
32196,28130 -> 3
14620,5464 -> 1
14126,15068 -> 1
5515,21022 -> 4
5031,8446 -> 8
7471,29082 -> 4
12638,32156 -> 2
=== Land Nr. 65 ===
11813,31793 -> 7
5439,16363 -> 5
29845,27767 -> 5
1408,5838 -> 3
23006,25905 -> 1
11934,9060 -> 8
9900,17033 -> 8
9560,22680 -> 8
499,26779 -> 6
30848,20262 -> 1
4112,26022 -> 6
23495,21190 -> 6
23663,18558 -> 5
4291,6278 -> 7
15758,31770 -> 4
9704,14198 -> 5
22073,8020 -> 8
31527,29749 -> 4
2122,15401 -> 5
19054,1281 -> 6
27742,1061 -> 4
17990,30545 -> 6
32559,24516 -> 2
19260,8492 -> 6
159,15583 -> 1
12502,22448 -> 7
18839,11402 -> 8
3397,20879 -> 2
30013,6895 -> 2
19229,30568 -> 7
28475,19457 -> 3
21158,15684 -> 4
7172,24099 -> 8
20659,18338 -> 8
12636,28692 -> 1
25345,25555 -> 4
17557,14787 -> 4
13950,3743 -> 3
24882,32720 -> 1
32283,13661 -> 3
30199,22508 -> 3
10475,23818 -> 2
24468,18522 -> 4
29881,14343 -> 4
8032,30512 -> 6
30313,16000 -> 6
12777,28212 -> 3
951,26281 -> 4
19520,32363 -> 2
8747,29021 -> 2
22606,6832 -> 3
19817,13496 -> 4
10127,8936 -> 4
6942,12744 -> 8
20743,8628 -> 6
3381,25455 -> 5
23127,31924 -> 1
21287,25600 -> 3
29995,7087 -> 4
24945,5188 -> 4
4484,9536 -> 4
12960,10728 -> 4
6795,12251 -> 1
18297,17545 -> 5
14058,15421 -> 8
9237,12241 -> 1
9954,2740 -> 7
9748,7777 -> 5
10646,28340 -> 8
13371,15494 -> 3
67,15543 -> 6
520,19173 -> 3
345,23652 -> 5
560,20637 -> 7
1726,32095 -> 2
14587,12695 -> 7
10642,30559 -> 7
31737,24828 -> 8
852,3676 -> 6
24205,20742 -> 7
24379,14823 -> 6
9016,30889 -> 3
14365,15125 -> 7
6066,7362 -> 6
24119,20102 -> 3
22061,19926 -> 3
32182,12385 -> 3
4180,3202 -> 5
18905,1643 -> 1
22767,5676 -> 6
6640,10368 -> 3
26409,18580 -> 6
7351,14860 -> 1
6890,9814 -> 8
15287,10079 -> 6
11216,8068 -> 7
11184,28664 -> 7
29851,10449 -> 7
18496,17165 -> 7
19250,12559 -> 5
2107,26108 -> 6
22923,30706 -> 7
25974,13431 -> 1
1559,31305 -> 2
19953,22650 -> 2
14985,26423 -> 7
28069,11371 -> 8
19975,12045 -> 8
10077,9221 -> 7
5163,2002 -> 4
14439,10444 -> 3
9315,3237 -> 6
5635,7487 -> 5
25990,13426 -> 4
25807,17937 -> 1
22466,4537 -> 2
18861,15095 -> 6
2860,28756 -> 6
4308,18691 -> 1
15248,18301 -> 8
4861,28286 -> 2
14950,25994 -> 1
10751,23734 -> 6
13797,2069 -> 2
=== Land Nr. 66 ===
15663,17993 -> 2
6322,3722 -> 2
17239,16583 -> 1
16291,28236 -> 1
23342,14028 -> 3
11135,22265 -> 2
7308,25560 -> 8
13010,23157 -> 4
21466,9620 -> 5
7207,16312 -> 8
18019,9801 -> 8
831,14496 -> 6
14743,4774 -> 4
3117,21040 -> 3
4193,16696 -> 6
15699,29697 -> 5
14617,31767 -> 6
30135,28377 -> 2
11195,3514 -> 3
26416,17308 -> 8
11117,22508 -> 5
21581,17168 -> 8
12156,10330 -> 1
8209,15413 -> 1
5963,16436 -> 7
4563,29210 -> 2
27127,11474 -> 7
6626,21366 -> 4
11675,11618 -> 3
29636,15731 -> 3
11119,1543 -> 5
18718,16482 -> 7
3396,23279 -> 6
1200,14427 -> 3
30212,3658 -> 4
26345,25849 -> 3
23100,12848 -> 6
13816,21155 -> 4
16096,31693 -> 4
8557,11564 -> 1
29644,22388 -> 6
13767,18099 -> 5
11427,21859 -> 4
5753,3842 -> 1
22050,13665 -> 2
13651,14047 -> 2
32523,27516 -> 4
29783,6155 -> 7
29469,8848 -> 4
6997,1515 -> 4
3047,4448 -> 6
23789,13317 -> 7
3668,32102 -> 1
24261,14043 -> 5
32061,4777 -> 6
26390,6349 -> 4
26727,23092 -> 5
1498,24575 -> 7
15545,8454 -> 7
23106,903 -> 3
17802,8082 -> 5
1345,32063 -> 6
14424,13869 -> 7
76,13072 -> 5
6990,11511 -> 5
31644,11683 -> 3
27733,9760 -> 5
10651,19363 -> 5
29105,26525 -> 7
1341,10277 -> 2
24148,23973 -> 1
16251,4042 -> 6
17257,18835 -> 7
9251,29626 -> 7
30157,2303 -> 4
188,6792 -> 2
26988,20259 -> 5
=== Land Nr. 67 ===
30773,11933 -> 5
23994,7921 -> 1
17548,1732 -> 7
24002,24166 -> 2
17341,28894 -> 7
23427,3060 -> 4
24465,12279 -> 2
24975,1316 -> 6
30759,5675 -> 3
18217,31159 -> 1
1866,30745 -> 1
21082,10480 -> 8
18170,31453 -> 4
4273,28375 -> 7
20391,16071 -> 4
15011,1412 -> 6
29461,30789 -> 7
32467,17119 -> 6
7910,30137 -> 4
27045,5465 -> 7
24110,11320 -> 1
4835,8834 -> 5
13232,32355 -> 7
7783,16522 -> 7
3720,22488 -> 7
15871,8214 -> 8
6515,15594 -> 2
4616,28138 -> 2
10484,24996 -> 5
21369,3156 -> 2
9985,3145 -> 8
27979,21091 -> 4
6922,18114 -> 3
25734,4942 -> 7
25449,32707 -> 3
30048,6801 -> 7
29095,1931 -> 6
28968,22960 -> 4
27925,7563 -> 1
31733,19102 -> 6
6057,23383 -> 3
6744,5690 -> 2
16165,32433 -> 2
24188,28768 -> 1
30953,14218 -> 2
16759,25469 -> 8
28938,79 -> 7
8382,944 -> 8
17785,30175 -> 8
16631,17877 -> 8
19557,29172 -> 4
28320,4364 -> 5
20766,9715 -> 5
10821,8614 -> 4
21793,27984 -> 1
4404,2672 -> 5
19216,22036 -> 8
13561,7642 -> 1
8142,17185 -> 5
8962,23153 -> 7
18928,24394 -> 8
19264,11929 -> 4
4672,10589 -> 5
3992,5530 -> 7
26634,166 -> 5
24456,17482 -> 4
27239,5792 -> 5
10831,26122 -> 4
16736,18282 -> 2
27595,21962 -> 6
=== Land Nr. 68 ===
30573,23243 -> 8
10097,30423 -> 5
26719,3406 -> 8
14468,29881 -> 5
6115,25836 -> 1
12574,9517 -> 5
2597,6267 -> 7
865,16095 -> 8
32420,20528 -> 2
22882,22326 -> 4
16307,8847 -> 3
2211,12643 -> 1
21724,7366 -> 6
5184,25946 -> 5
5272,16649 -> 6
15653,16556 -> 8
18195,17861 -> 2
485,7299 -> 3
12017,30406 -> 1
14349,2865 -> 8
11866,30119 -> 4
9987,1289 -> 8
11696,18718 -> 4
20689,28548 -> 8
14008,17160 -> 3
28528,19165 -> 8
12842,21311 -> 7
11629,20897 -> 3
11991,29087 -> 1
22270,13044 -> 3
24807,29641 -> 8
15586,7027 -> 2
27882,29564 -> 6
21660,18934 -> 4
26021,28841 -> 4
23025,17575 -> 8
29921,9859 -> 6
25517,14374 -> 4
18093,11578 -> 2
4632,28084 -> 7
19407,2600 -> 4
18344,26260 -> 2
4954,20121 -> 6
19661,23082 -> 1
9371,26988 -> 8
26096,24961 -> 7
14821,27208 -> 3
20217,22074 -> 2
20965,13591 -> 6
20981,9235 -> 5
4214,6917 -> 4
22199,21382 -> 5
10554,2615 -> 1
26507,14649 -> 1
23912,6124 -> 3
19277,18730 -> 4
17276,8408 -> 7
3977,24031 -> 1
27355,10699 -> 2
15723,8970 -> 4
18059,7940 -> 6
2725,4182 -> 7
29055,6853 -> 3
13218,19549 -> 8
9271,3069 -> 7
24207,14589 -> 7
26271,31786 -> 3
32550,8570 -> 5
31338,24505 -> 8
16715,22580 -> 5
31083,24212 -> 3
5320,21729 -> 6
145,27294 -> 8
7891,25986 -> 3
19338,22597 -> 1
9773,5004 -> 1
11850,4478 -> 6
5357,19460 -> 2
12511,30144 -> 2
30547,29815 -> 2
1876,6613 -> 2
328,12312 -> 8
666,28837 -> 4
11334,32620 -> 7
14514,577 -> 7
32221,27209 -> 1
20866,18641 -> 4
2846,22292 -> 4
29473,9025 -> 8
26500,25470 -> 8
897,7094 -> 3
28220,21050 -> 1
11964,5169 -> 2
19157,15966 -> 8
10352,22007 -> 5
25284,4194 -> 8
17389,4229 -> 2
21313,31238 -> 6
4644,6982 -> 4
12125,21897 -> 3
1431,22853 -> 8
6256,31213 -> 2
31672,130 -> 1
16167,14653 -> 6
18560,20168 -> 4
26076,7958 -> 7
19484,29708 -> 4
11517,29921 -> 1
1028,16052 -> 7
22702,24184 -> 7
16350,28777 -> 5
27372,23865 -> 1
30711,8757 -> 4
28631,170 -> 2
1591,21789 -> 4
16882,21308 -> 7
986,18556 -> 7
27250,30418 -> 8
7512,454 -> 5
9723,14361 -> 2
6977,10619 -> 6
4185,28879 -> 5
31222,3959 -> 7
6680,12425 -> 1
899,23774 -> 7
16645,8357 -> 6
17939,17494 -> 7
8449,17240 -> 4
18083,29004 -> 1
25771,22312 -> 2
17166,7544 -> 7
30157,7982 -> 3
1918,8159 -> 7
7059,26091 -> 2
6892,2811 -> 4
2287,5026 -> 7
9014,6112 -> 1
18362,29291 -> 4
11496,14949 -> 7
32116,2432 -> 8
19422,24262 -> 4
19627,9847 -> 4
8505,2876 -> 4
8826,1625 -> 7
2150,113 -> 5
8602,27106 -> 4
20515,2534 -> 1
